type,layer,row,col,value
weight,1,0,0,0.645386
weight,1,0,1,-2.674
weight,1,0,2,-0.413475
weight,1,0,3,0.782934
weight,1,0,4,-1.48639
weight,1,0,5,0.0854111
weight,1,0,6,-0.182288
weight,1,0,7,0.403393
weight,1,0,8,0.0448811
weight,1,0,9,-1.03649
weight,1,0,10,-0.100483
weight,1,0,11,0.6103
weight,1,1,0,-0.148256
weight,1,1,1,-0.490451
weight,1,1,2,0.187048
weight,1,1,3,0.181546
weight,1,1,4,0.332544
weight,1,1,5,0.000598188
weight,1,1,6,-0.18952
weight,1,1,7,-0.181098
weight,1,1,8,0.113233
weight,1,1,9,0.226179
weight,1,1,10,0.235856
weight,1,1,11,0.369877
weight,1,2,0,0.986867
weight,1,2,1,-0.347021
weight,1,2,2,-0.0300037
weight,1,2,3,0.403279
weight,1,2,4,-0.742035
weight,1,2,5,-1.59871
weight,1,2,6,-0.228616
weight,1,2,7,-1.24877
weight,1,2,8,0.144002
weight,1,2,9,-0.100675
weight,1,2,10,0.424148
weight,1,2,11,-1.48941
weight,1,3,0,-1.46738
weight,1,3,1,0.433664
weight,1,3,2,0.192352
weight,1,3,3,-0.152943
weight,1,3,4,0.796729
weight,1,3,5,-0.0221672
weight,1,3,6,-0.255535
weight,1,3,7,-0.234622
weight,1,3,8,0.0640919
weight,1,3,9,0.00244238
weight,1,3,10,-0.165456
weight,1,3,11,0.225097
weight,1,4,0,0.390292
weight,1,4,1,-0.138439
weight,1,4,2,-0.537901
weight,1,4,3,0.153781
weight,1,4,4,-0.116142
weight,1,4,5,-0.75625
weight,1,4,6,-0.2694
weight,1,4,7,-0.692757
weight,1,4,8,-0.0361356
weight,1,4,9,-0.269736
weight,1,4,10,0.107227
weight,1,4,11,-0.621333
weight,1,5,0,-0.515071
weight,1,5,1,0.478201
weight,1,5,2,0.254495
weight,1,5,3,-0.374729
weight,1,5,4,-0.18578
weight,1,5,5,0.409711
weight,1,5,6,0.119651
weight,1,5,7,0.6561
weight,1,5,8,0.0786863
weight,1,5,9,0.223975
weight,1,5,10,0.00581045
weight,1,5,11,-0.99315
weight,1,6,0,0.625339
weight,1,6,1,-0.999444
weight,1,6,2,0.434199
weight,1,6,3,-1.02359
weight,1,6,4,-0.589502
weight,1,6,5,1.01142
weight,1,6,6,0.0140504
weight,1,6,7,-0.256816
weight,1,6,8,0.356657
weight,1,6,9,0.0191003
weight,1,6,10,-0.530762
weight,1,6,11,-0.173394
weight,1,7,0,-0.823255
weight,1,7,1,1.37785
weight,1,7,2,1.15562
weight,1,7,3,-0.558312
weight,1,7,4,-0.160586
weight,1,7,5,-0.73836
weight,1,7,6,-0.0655254
weight,1,7,7,-0.89965
weight,1,7,8,0.058495
weight,1,7,9,-0.163155
weight,1,7,10,-0.506824
weight,1,7,11,0.378372
weight,1,8,0,0.62196
weight,1,8,1,-1.15047
weight,1,8,2,0.604232
weight,1,8,3,-0.232734
weight,1,8,4,-0.492577
weight,1,8,5,0.52261
weight,1,8,6,-0.137671
weight,1,8,7,-0.336088
weight,1,8,8,0.416877
weight,1,8,9,-0.0866503
weight,1,8,10,0.242865
weight,1,8,11,-0.785985
weight,1,9,0,-0.340254
weight,1,9,1,0.300309
weight,1,9,2,-0.257585
weight,1,9,3,-0.323357
weight,1,9,4,-0.0134804
weight,1,9,5,0.0939833
weight,1,9,6,0.0466887
weight,1,9,7,0.721642
weight,1,9,8,-0.145559
weight,1,9,9,-0.186116
weight,1,9,10,0.0618729
weight,1,9,11,1.18912
weight,1,10,0,0.498001
weight,1,10,1,0.707027
weight,1,10,2,1.209
weight,1,10,3,0.999729
weight,1,10,4,0.618228
weight,1,10,5,1.30444
weight,1,10,6,-0.254882
weight,1,10,7,-0.0995974
weight,1,10,8,0.11802
weight,1,10,9,1.2497
weight,1,10,10,-0.00791805
weight,1,10,11,1.0058
weight,1,11,0,0.338584
weight,1,11,1,0.256952
weight,1,11,2,-1.86413
weight,1,11,3,-0.723911
weight,1,11,4,1.66937
weight,1,11,5,-1.41534
weight,1,11,6,0.0355615
weight,1,11,7,-1.21168
weight,1,11,8,0.0421179
weight,1,11,9,-0.0045054
weight,1,11,10,-0.281954
weight,1,11,11,-3.9648
weight,1,12,0,-0.626233
weight,1,12,1,0.579169
weight,1,12,2,0.663345
weight,1,12,3,0.862249
weight,1,12,4,0.545605
weight,1,12,5,-0.611014
weight,1,12,6,0.128712
weight,1,12,7,-0.0304429
weight,1,12,8,0.153934
weight,1,12,9,-0.866979
weight,1,12,10,-0.152072
weight,1,12,11,0.296786
weight,1,13,0,-0.706539
weight,1,13,1,0.213714
weight,1,13,2,0.0335985
weight,1,13,3,0.916067
weight,1,13,4,0.458618
weight,1,13,5,1.05875
weight,1,13,6,-0.195943
weight,1,13,7,-0.731554
weight,1,13,8,0.00233227
weight,1,13,9,1.01984
weight,1,13,10,-0.190073
weight,1,13,11,0.383303
weight,1,14,0,1.09391
weight,1,14,1,-0.715336
weight,1,14,2,-0.766516
weight,1,14,3,0.0918764
weight,1,14,4,0.495677
weight,1,14,5,-0.104078
weight,1,14,6,-0.0155407
weight,1,14,7,-0.0157346
weight,1,14,8,-7.29772
weight,1,14,9,0.463974
weight,1,14,10,-0.224217
weight,1,14,11,0.186574
weight,1,15,0,0.29541
weight,1,15,1,-1.42218
weight,1,15,2,0.320289
weight,1,15,3,0.42499
weight,1,15,4,-0.215877
weight,1,15,5,-0.47916
weight,1,15,6,0.205446
weight,1,15,7,0.357975
weight,1,15,8,0.203724
weight,1,15,9,0.170303
weight,1,15,10,-0.332806
weight,1,15,11,-0.00557099
weight,1,16,0,-1.17995
weight,1,16,1,-0.995405
weight,1,16,2,-1.22925
weight,1,16,3,-0.45313
weight,1,16,4,-1.01569
weight,1,16,5,0.0536545
weight,1,16,6,-0.257175
weight,1,16,7,0.737169
weight,1,16,8,0.307752
weight,1,16,9,-0.234169
weight,1,16,10,-0.30047
weight,1,16,11,0.292042
weight,1,17,0,0.10698
weight,1,17,1,2.4796
weight,1,17,2,-0.321613
weight,1,17,3,0.372334
weight,1,17,4,0.375903
weight,1,17,5,0.415953
weight,1,17,6,0.164639
weight,1,17,7,0.240003
weight,1,17,8,-1.45597
weight,1,17,9,0.169939
weight,1,17,10,-0.320419
weight,1,17,11,-0.00628755
weight,1,18,0,0.0646779
weight,1,18,1,0.650306
weight,1,18,2,1.07215
weight,1,18,3,0.579034
weight,1,18,4,0.661223
weight,1,18,5,0.667297
weight,1,18,6,-0.0939086
weight,1,18,7,-2.68198
weight,1,18,8,0.259994
weight,1,18,9,-0.768152
weight,1,18,10,0.192818
weight,1,18,11,0.605563
weight,1,19,0,1.42857
weight,1,19,1,0.402622
weight,1,19,2,1.62585
weight,1,19,3,-1.023
weight,1,19,4,1.03774
weight,1,19,5,0.0766461
weight,1,19,6,0.233451
weight,1,19,7,2.56947
weight,1,19,8,0.066651
weight,1,19,9,-6.78872
weight,1,19,10,0.165653
weight,1,19,11,3.25541
weight,1,20,0,-0.2127
weight,1,20,1,0.774627
weight,1,20,2,1.23781
weight,1,20,3,0.241564
weight,1,20,4,0.249827
weight,1,20,5,-0.508479
weight,1,20,6,-0.269618
weight,1,20,7,-0.0569759
weight,1,20,8,0.619868
weight,1,20,9,-0.658863
weight,1,20,10,0.0473621
weight,1,20,11,0.152654
weight,1,21,0,0.0203579
weight,1,21,1,-1.64113
weight,1,21,2,-1.18077
weight,1,21,3,1.22982
weight,1,21,4,-0.78717
weight,1,21,5,1.15462
weight,1,21,6,-0.11912
weight,1,21,7,0.861666
weight,1,21,8,0.0133795
weight,1,21,9,0.251288
weight,1,21,10,-0.447541
weight,1,21,11,0.0186246
weight,1,22,0,0.97636
weight,1,22,1,-1.61877
weight,1,22,2,0.0823676
weight,1,22,3,-0.0757323
weight,1,22,4,-0.0928016
weight,1,22,5,-0.502171
weight,1,22,6,0.0209948
weight,1,22,7,-0.597598
weight,1,22,8,0.0777963
weight,1,22,9,-0.115387
weight,1,22,10,-0.188005
weight,1,22,11,-0.300909
weight,1,23,0,-3.45115
weight,1,23,1,0.456013
weight,1,23,2,-3.20356
weight,1,23,3,-0.942043
weight,1,23,4,1.19633
weight,1,23,5,-0.337816
weight,1,23,6,0.230767
weight,1,23,7,0.784143
weight,1,23,8,0.0324417
weight,1,23,9,-0.566912
weight,1,23,10,0.0039981
weight,1,23,11,0.219176
bias,1,0,0,-0.446838
bias,1,1,0,1.69854
bias,1,2,0,-0.332667
bias,1,3,0,-1.29445
bias,1,4,0,-1.19567
bias,1,5,0,-0.467748
bias,1,6,0,-0.00160528
bias,1,7,0,0.514956
bias,1,8,0,4.09358
bias,1,9,0,2.35113
bias,1,10,0,-0.0156678
bias,1,11,0,1.82071
weight,2,0,0,-1.24189
weight,2,1,0,2.17801
weight,2,2,0,-1.02123
weight,2,3,0,-0.866178
weight,2,4,0,-0.920391
weight,2,5,0,-0.842103
weight,2,6,0,-0.368033
weight,2,7,0,-1.89437
weight,2,8,0,2.94298
weight,2,9,0,2.34731
weight,2,10,0,0.888601
weight,2,11,0,1.69405
bias,2,0,0,3.15602
